Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Physical_Interaction,Study_Extracurricular
23.0,84.0,Low,High,No,7.0,73.0,Low,Yes,0,Low,Medium,Public,Positive,3.0,No,High School,Near,Male,67.0,69.0,0.0
19.0,64.0,Low,Medium,No,8.0,59.0,Low,Yes,2,Medium,Medium,Public,Negative,4.0,No,College,Moderate,Female,61.0,76.0,0.0
24.0,98.0,Medium,Medium,Yes,7.0,91.0,Medium,Yes,2,Medium,Medium,Public,Neutral,4.0,No,Postgraduate,Near,Male,74.0,96.0,24.0
29.0,89.0,Low,Medium,Yes,8.0,98.0,Medium,Yes,1,Medium,Medium,Public,Negative,4.0,No,High School,Moderate,Male,71.0,116.0,29.0
19.0,92.0,Medium,Medium,Yes,6.0,65.0,Medium,Yes,3,Medium,High,Public,Neutral,4.0,No,College,Near,Female,70.0,76.0,19.0
19.0,88.0,Medium,Medium,Yes,8.0,89.0,Medium,Yes,3,Medium,Medium,Public,Positive,3.0,No,Postgraduate,Near,Male,71.0,57.0,19.0
29.0,84.0,Medium,Low,Yes,7.0,68.0,Low,Yes,1,Low,Medium,Private,Neutral,2.0,No,High School,Moderate,Male,67.0,58.0,29.0
25.0,78.0,Low,High,Yes,6.0,50.0,Medium,Yes,1,High,High,Public,Negative,2.0,No,High School,Far,Male,66.0,50.0,25.0
17.0,94.0,Medium,High,No,6.0,80.0,High,Yes,0,Medium,Low,Private,Neutral,1.0,No,College,Near,Male,69.0,17.0,0.0
23.0,98.0,Medium,Medium,Yes,8.0,71.0,Medium,Yes,0,High,High,Public,Positive,5.0,No,High School,Moderate,Male,72.0,115.0,23.0
17.0,80.0,Low,High,No,8.0,88.0,Medium,No,4,Medium,High,Private,Neutral,4.0,No,College,Moderate,Male,68.0,68.0,0.0
17.0,97.0,Medium,High,Yes,6.0,87.0,Low,Yes,2,Low,High,Private,Neutral,2.0,No,High School,Near,Male,71.0,34.0,17.0
21.0,83.0,Medium,Medium,Yes,8.0,97.0,Low,Yes,2,Medium,Medium,Public,Positive,4.0,No,High School,Near,Male,70.0,84.0,21.0
9.0,82.0,Medium,Medium,Yes,8.0,72.0,Medium,Yes,2,Medium,Medium,Private,Positive,3.0,No,Postgraduate,Near,Male,66.0,27.0,9.0
10.0,78.0,Medium,High,Yes,8.0,74.0,Medium,Yes,1,Low,Medium,Private,Neutral,4.0,No,Postgraduate,Near,Male,65.0,40.0,10.0
17.0,68.0,Medium,Medium,No,8.0,70.0,Medium,Yes,2,Medium,Medium,Private,Positive,4.0,No,High School,Near,Female,64.0,68.0,0.0
14.0,60.0,Medium,Low,Yes,10.0,65.0,Low,Yes,0,High,Medium,Private,Positive,3.0,No,College,Near,Male,60.0,42.0,14.0
22.0,70.0,Low,Medium,Yes,6.0,82.0,Medium,Yes,1,Low,High,Public,Neutral,3.0,No,High School,Near,Female,65.0,66.0,22.0
15.0,80.0,Medium,Medium,Yes,9.0,91.0,Low,Yes,3,Low,Medium,Public,Positive,2.0,No,College,Moderate,Female,67.0,30.0,15.0
12.0,75.0,Medium,High,Yes,7.0,58.0,Medium,Yes,3,Medium,Medium,Private,Positive,4.0,No,College,Near,Male,66.0,48.0,12.0
29.0,78.0,Medium,Medium,No,5.0,99.0,High,Yes,0,High,Medium,Public,Negative,1.0,No,High School,Moderate,Female,69.0,29.0,0.0
19.0,99.0,Medium,High,No,6.0,84.0,Medium,Yes,1,Medium,High,Public,Neutral,3.0,No,High School,Near,Male,72.0,57.0,0.0
20.0,74.0,Medium,High,No,8.0,89.0,Low,Yes,1,Medium,Medium,Public,Negative,2.0,No,College,Moderate,Female,66.0,40.0,0.0
11.0,78.0,High,Medium,Yes,8.0,100.0,High,Yes,1,Low,Medium,Public,Neutral,3.0,No,High School,Moderate,Male,66.0,33.0,11.0
17.0,65.0,Low,High,Yes,5.0,75.0,Medium,Yes,2,Low,Medium,Public,Positive,3.0,No,High School,Near,Female,63.0,51.0,17.0
21.0,62.0,High,Low,Yes,6.0,54.0,High,Yes,0,High,High,Public,Positive,3.0,No,Postgraduate,Far,Male,64.0,63.0,21.0
13.0,91.0,Low,Medium,No,6.0,90.0,Medium,Yes,1,High,Medium,Public,Negative,2.0,Yes,High School,Moderate,Female,65.0,26.0,0.0
22.0,83.0,High,High,Yes,6.0,94.0,Medium,Yes,0,High,Medium,Public,Neutral,2.0,No,College,Moderate,Male,71.0,44.0,22.0
16.0,90.0,Medium,Medium,No,4.0,58.0,Medium,Yes,1,Low,Medium,Public,Neutral,3.0,No,High School,Moderate,Female,66.0,48.0,0.0
18.0,66.0,High,High,No,4.0,51.0,Low,Yes,2,Low,Medium,Private,Neutral,2.0,No,College,Near,Male,64.0,36.0,0.0
16.0,83.0,Low,Medium,No,6.0,57.0,Medium,Yes,0,High,Low,Public,Positive,4.0,Yes,High School,Near,Female,63.0,64.0,0.0
31.0,70.0,Medium,High,Yes,7.0,66.0,Medium,Yes,1,High,Medium,Public,Negative,3.0,No,College,Near,Male,69.0,93.0,31.0
20.0,69.0,Medium,Medium,Yes,8.0,96.0,Medium,Yes,2,Medium,High,Public,Positive,3.0,No,High School,Near,Male,67.0,60.0,20.0
14.0,60.0,High,Medium,No,5.0,50.0,Medium,Yes,2,Medium,Medium,Public,Neutral,3.0,No,College,,Female,61.0,42.0,0.0
25.0,65.0,High,Medium,No,5.0,90.0,Medium,Yes,2,Medium,Medium,Public,Positive,3.0,No,College,Moderate,Female,68.0,75.0,0.0
13.0,72.0,Low,Medium,No,6.0,93.0,Low,Yes,1,Low,Medium,Public,Negative,3.0,No,High School,Near,Male,61.0,39.0,0.0
21.0,65.0,Medium,Low,Yes,7.0,91.0,Low,Yes,2,Medium,High,Public,Positive,3.0,No,High School,Far,Female,64.0,63.0,21.0
8.0,99.0,Medium,Medium,No,9.0,54.0,Low,Yes,2,Low,Medium,Public,Neutral,5.0,No,Postgraduate,Near,Female,67.0,40.0,0.0
12.0,72.0,Low,Medium,Yes,8.0,84.0,Medium,Yes,1,Low,Medium,Public,Positive,5.0,No,High School,Near,Female,63.0,60.0,12.0
21.0,65.0,Low,Medium,Yes,6.0,98.0,Low,Yes,1,Medium,High,Public,Negative,4.0,No,High School,Near,Male,64.0,84.0,21.0
24.0,68.0,High,Medium,No,8.0,56.0,Low,Yes,3,High,High,Public,Neutral,1.0,No,College,Near,Male,67.0,24.0,0.0
21.0,84.0,Medium,Medium,Yes,6.0,52.0,Low,Yes,1,Medium,High,Public,Neutral,2.0,Yes,College,Far,Female,65.0,42.0,21.0
19.0,63.0,Low,High,No,7.0,94.0,Medium,Yes,1,Medium,Medium,Private,Positive,3.0,No,High School,Moderate,Male,64.0,57.0,0.0
